名称,类型,描述
VOL10,Double,10日换手率
VOL120,double,120日换手率
VOL120,Double,120日换手率
VOL20,double,20日换手率
VOL20,Double,20日换手率
VOL240,Double,240日换手率
VOL5,double,5日换手率
VOL5,Double,5日换手率
VOL60,double,60日换手率
VOL60,Double,60日换手率
Volatility,Double,换手率相对波动率
WVAD,double,威廉变异离散量
WVAD,Double,威廉变异离散量
